ORDER_DATE,TOTAL_ORDERS,TOTAL_REVENUE
2018-07-05,193,28490.43
2018-07-06,120,18739.64
2018-07-07,89,8816.76
2018-07-08,118,14064.70
2018-07-09,146,19360.95
2018-07-10,129,18127.59
2018-07-11,123,17719.10
2018-07-12,117,19551.98
2018-07-13,167,27644.23
2018-07-14,142,21542.92
2018-07-15,148,29518.60
2018-07-16,238,29990.09
2018-07-17,216,29532.13
2018-07-18,302,40860.90
2018-07-19,249,38426.79
2018-07-20,247,31898.19
2018-07-21,184,20845.68
2018-07-22,213,25903.42
2018-07-23,298,39296.34
2018-07-24,264,39903.00
2018-07-25,264,40183.26
2018-07-26,244,34744.03
2018-07-27,186,28104.86
2018-07-28,172,24813.32
2018-07-29,182,29453.61
2018-07-30,278,37606.96
2018-07-31,313,44804.02
2018-08-01,306,40244.22
2018-08-02,292,37834.35
2018-08-03,308,41477.14
2018-08-04,236,34646.27
2018-08-05,269,34701.48
2018-08-06,363,53475.41
2018-08-07,353,46744.20
2018-08-08,310,42449.38
2018-08-09,280,39659.48
2018-08-10,249,32841.77
2018-08-11,185,25916.03
2018-08-12,191,29150.53
2018-08-13,284,38245.22
2018-08-14,311,43900.96
2018-08-15,282,45376.15
2018-08-16,316,35166.77
2018-08-17,249,31124.03
2018-08-18,193,24157.50
2018-08-19,204,25487.39
2018-08-20,251,33749.50
2018-08-21,238,26274.06
2018-08-22,185,20247.24
2018-08-23,142,17030.87
2018-08-24,96,9440.71
2018-08-25,69,10599.41
2018-08-26,73,8070.71
2018-08-27,66,5345.91
2018-08-28,39,3673.91
2018-08-29,11,1546.04
